gu,baby_sum,teacher_sum,baby/teacher point
서대문구,1999.9,404.7,4.94
도봉구,2313.7,445.5,5.19
송파구,4074.0,819.8,4.97
성동구,2482.8,738.8,3.36
은평구,3239.9,595.8,5.44
서초구,3121.3,626.6,4.98
종로구,1634.0,341.59999999999997,4.78
양천구,3099.3,596.0999999999999,5.2
동작구,2541.2,460.79999999999995,5.51
강서구,8107.000000000001,1501.0,5.4
중구,1408.9,294.20000000000005,4.79
강북구,2165.3,413.59999999999997,5.24
금천구,2178.7,430.40000000000003,5.06
강동구,3292.2,637.0,5.17
영등포구,3080.7,613.7,5.02
중랑구,2823.0,551.6999999999999,5.12
구로구,3327.9,626.5,5.31
광진구,2196.8,437.69999999999993,5.02
노원구,3181.6,663.6759999999999,4.79
관악구,3090.2,604.4000000000001,5.11
강남구,3301.0,473.80099999999993,6.97
